,Time,Latitude,Longitude,Depth,Magnitude,Date
,19:08:16,24.51,94.69,16,3.9,29-05-2021
,13:30:11,24.79,91.61,3.4,3.4,29-05-2021
,10:06:50,25.09,92.17,15,3,29-05-2021
,07:11:55,38.1,74.14,150,4.5,29-05-2021
,01:29:04,25.57,91.78,10,3.5,29-05-2021
,22:21:22,22.53,94.62,90,4.4,28-05-2021
,12:53:25,37.15,69.31,30,5.3,28-05-2021
,09:28:05,27.76,66.39,10,4.6,28-05-2021
,04:14:36,37.82,72.34,10,3.6,28-05-2021
,03:16:53,36.07,70.89,170,3.7,28-05-2021
,01:32:26,38.84,74.71,10,2.8,28-05-2021
,23:59:05,25.04,93.52,12,2.7,27-05-2021
,20:34:07,26.54,99.5,10,4,27-05-2021
,18:36:09,34.55,99.06,30,4.8,27-05-2021
,14:24:47,30.66,67.02,100,4.4,27-05-2021
,06:08:38,30.76,65.94,117,4.4,27-05-2021
,13:11:23,26.85,88.72,5,3.8,26-05-2021
,12:24:40,29.33,87,10,3.6,26-05-2021
,12:13:31,29.54,86.43,10,3.9,26-05-2021
,02:16:12,28.99,86.46,150,4.5,26-05-2021
,00:53:08,23.55,94.58,90,4.3,26-05-2021
,00:20:35,25.36,94.11,30,2.6,26-05-2021
,04:30:23,34.9,97.83,10,4.5,25-05-2021
,20:35:23,4.24,95.16,52,4.6,24-05-2021
,19:45:41,33.93,97.17,81,4.3,24-05-2021
,00:31:45,30.94,79.44,22,4.3,24-05-2021
,13:06:16,37.31,70.51,14,3.3,23-05-2021
,09:16:53,17.36,73.84,5,3.3,23-05-2021
,07:26:53,37.31,72.32,349,4.1,23-05-2021
,06:56:42,24.79,94.94,109,4.3,23-05-2021
,00:56:15,35.27,73.57,5,3.5,23-05-2021
,21:10:00,27.73,92.58,10,2.8,22-05-2021
,17:44:52,25.59,99.08,10,4.3,22-05-2021
,15:09:38,34.77,97.39,10,4.5,22-05-2021
,13:29:03,33.15,75.92,10,3.3,22-05-2021
,12:36:33,34.1,97.8,10,4.5,22-05-2021
,09:33:40,35.47,99.56,34,4.2,22-05-2021
,08:51:19,34.78,97.96,12,4.6,22-05-2021
,08:37:47,34.57,76.64,40,3.6,22-05-2021
,08:08:49,34.53,98.43,10,5,22-05-2021
,07:59:33,35.02,97.6,10,4.7,22-05-2021
,07:18:16,25.78,99.01,10,4.1,22-05-2021
,06:08:33,19.72,95.56,16,4.1,22-05-2021
,03:29:37,34.56,98.28,10,4.7,22-05-2021
,01:34:33,34.66,98.19,10,4.5,22-05-2021
,01:19:15,34.64,97.94,10,4.5,22-05-2021
,00:33:09,34.49,98.94,10,4.8,22-05-2021
,23:34:14,34.65,98.06,10,7,21-05-2021
,23:21:00,26.26,96.94,10,2.9,21-05-2021
,23:06:20,25.77,99.16,10,4,21-05-2021
,20:54:00,26.06,98.46,30,4.3,21-05-2021
,20:01:22,25.88,99.35,10,5,21-05-2021
,19:18:41,25.67,99.96,100,5.8,21-05-2021
,11:02:32,35.29,77.98,90,4.2,21-05-2021
,15:05:20,32.83,76.13,10,3.2,20-05-2021
,13:39:21,37.06,71.61,84,4,20-05-2021
,22:24:30,28.26,84.59,10,4.4,19-05-2021
,21:08:56,28.3,84.61,10,3.9,19-05-2021
,17:55:49,26.22,91.47,30,3.2,19-05-2021
,14:49:30,34.05,70.5,180,4.5,19-05-2021
,14:34:18,33.04,75.92,5,3.2,19-05-2021
,12:06:53,28.72,77.03,5,1.9,19-05-2021
,08:11:39,28.2,84.42,10,4.9,19-05-2021
,05:28:56,28.24,84.36,10,5.3,19-05-2021
,17:33:00,26.72,92.45,19,3.8,18-05-2021
,16:23:28,37.34,76.88,10,4.2,18-05-2021
,04:24:46,15.46,93.37,34,4.1,18-05-2021
,10:07:39,30.92,91.88,165,4.2,17-05-2021
,09:41:55,36.02,71.67,175,4.3,17-05-2021
,07:07:03,37.22,72.18,115,4,17-05-2021
,03:37:18,20.68,71.02,10,3.8,17-05-2021
,20:12:19,26.06,92.6,5,2.5,16-05-2021
,01:25:29,27.21,92.34,22,2.6,16-05-2021
,08:33:55,26.74,92.39,16,3.9,15-05-2021
,05:09:53,26.28,95.26,81,4.2,15-05-2021
,01:02:35,22.85,93.75,30,3.1,15-05-2021
,22:12:03,24.99,95.03,101,4.3,14-05-2021
,15:24:05,39.57,73.03,10,4.7,14-05-2021
,12:03:09,0.14,96.75,10,6.6,14-05-2021
,06:32:21,36.49,69.45,147,4.7,14-05-2021
,14:05:31,36.77,86.62,10,4.8,13-05-2021
,09:15:00,23.519,92.614,10,3.3,13-05-2021
,02:05:16,25.93,92.84,10,2.6,13-05-2021
,20:57:45,25.59,92.43,20,2.3,12-05-2021
,19:10:44,36.79,71.58,82,3.9,12-05-2021
,00:27:38,26.73,92.36,16,3.1,12-05-2021
,21:37:09,34.51,74.16,10,3.1,10-05-2021
,13:34:23,36.45,71.06,174,4.3,10-05-2021
,07:05:52,26.49,92.46,23,3,10-05-2021
,03:49:00,32.32,76.86,5,2.4,10-05-2021
,02:01:56,27.76,92.86,10,2.4,10-05-2021
,00:11:26,26.69,92.42,23,3.7,10-05-2021
,23:58:06,26.68,92.39,18,2.9,09-05-2021
,09:03:26,22.46,92.8,28,3.7,09-05-2021
,07:23:37,37.25,71.94,108,4.4,09-05-2021
,05:19:57,36.32,71.22,25,3.6,09-05-2021
,02:54:43,33.05,75.99,5,2.7,09-05-2021
,18:50:14,25.63,91.95,13,3.1,08-05-2021
,13:57:44,17.46,74.51,10,2.7,08-05-2021
,13:54:56,17.36,73.84,10,2.5,08-05-2021
,10:26:41,29.77,80.58,9,3.2,08-05-2021
,10:26:18,31.52,68.67,113,4.5,08-05-2021
,10:24:18,25.18,93.6,154,3.8,08-05-2021
,08:09:50,32.98,76.08,10,3,08-05-2021
,01:09:55,26.32,91.44,28,2.9,08-05-2021
,22:46:41,27.25,88.68,10,3.1,07-05-2021
,19:33:18,26.75,92.42,10,2.8,07-05-2021
,16:51:17,36.45,70.99,180,4.2,07-05-2021
,14:55:27,37.22,70.02,238,4.3,07-05-2021
,13:46:46,36.26,71.31,210,4.2,07-05-2021
,13:41:06,38.48,75.04,50,4.3,07-05-2021
,10:05:41,34.89,73.62,50,3.7,07-05-2021
,06:58:23,22.96,95.07,74,3.6,07-05-2021
,06:13:10,26.33,92.34,68,2.8,07-05-2021
,00:41:36,22.41,78.95,30,3,07-05-2021
,00:19:36,27.01,92.46,17,2.9,07-05-2021
,18:30:19,36.41,71.11,156,4.2,06-05-2021
,10:30:16,26.55,92.39,10,3.6,06-05-2021
,08:31:58,25.88,92.24,10,2.9,06-05-2021
,19:22:12,26.68,92.39,27,3.5,05-05-2021
,12:49:51,25.13,94.87,50,3.9,05-05-2021
,05:48:50,27.39,92.38,10,3.2,05-05-2021
,04:01:23,8.69,94.41,85,4.3,05-05-2021
,02:19:48,23.79,93.92,10,3.2,05-05-2021
,16:58:37,36.47,71.41,120,3.9,04-05-2021
,12:38:35,28.52,86.5,165,4.1,04-05-2021
,04:14:48,23.43,94.11,93,3.9,04-05-2021
,03:27:15,38.36,75.52,136,4.3,04-05-2021
,00:43:56,37.11,74.41,10,4.8,04-05-2021
,00:09:03,26.65,92.41,25,2.8,04-05-2021
,23:16:23,31.71,91.84,10,3.7,03-05-2021
,22:05:12,26.09,90.41,33,2.5,03-05-2021
,21:55:01,26.71,92.39,17,2.8,03-05-2021
,18:13:08,26.74,92.45,10,3.7,03-05-2021
,16:11:29,25.9,95.21,53.9,3.5,03-05-2021
,02:19:40,5.804,94.887,10,4.5,03-05-2021
,01:23:39,26.43,92.24,40,2.7,03-05-2021
,00:26:32,26.87,91.94,10,2.8,03-05-2021
,23:02:37,26.82,92.43,13,2.6,02-05-2021
,16:49:19,25.06,65.36,25,4.2,02-05-2021
,03:48:51,26.71,92.4,16,2.7,02-05-2021
,20:26:58,26.73,92.37,14,2.7,01-05-2021
,20:09:46,26.72,92.39,15,3.3,01-05-2021
,12:57:58,26.09,92.31,27,2.6,01-05-2021
,02:17:33,18.86,96.95,75,4.4,01-05-2021
,01:04:27,37.03,72.34,50,3.4,01-05-2021
,22:13:27,5.64,94.44,30,4.6,30-04-2021
,19:51:07,38,69.25,50,3.9,30-04-2021
,19:44:08,30.64,76.01,10,2.9,30-04-2021
,19:10:06,24.38,94.65,34,3.6,30-04-2021
,18:27:31,26.59,92.39,27,3.2,30-04-2021
,16:49:28,26.58,92.51,40,3.5,30-04-2021
,03:29:12,24.87,93.59,10,2.6,30-04-2021
,02:34:04,23.54,94.8,10,3.6,30-04-2021
,02:30:33,27.31,89.12,5,2.1,30-04-2021
,02:18:05,34.65,73.14,10,3.6,30-04-2021
,01:59:13,37.22,71.68,27,3.5,30-04-2021
,01:36:07,36.38,71.31,150,4.4,30-04-2021
,01:08:23,26.9,92.43,10,2.8,30-04-2021
,21:02:08,28.16,71.56,51,3.6,29-04-2021
,19:14:48,26.74,92.36,10,2.8,29-04-2021
,16:17:33,26.59,92.47,26,3.3,29-04-2021
,15:37:47,8.47,77.51,5,2.3,29-04-2021
,13:04:20,26.61,92.33,27,3.6,29-04-2021
,11:27:44,36.14,71.17,75,4.1,29-04-2021
,07:13:36,26.86,93.01,30,2.8,29-04-2021
,02:38:33,26.73,92.42,11,2.7,29-04-2021
,01:52:26,26.73,92.43,16,2.7,29-04-2021
,01:41:49,26.78,92.4,11,2.3,29-04-2021
,01:20:53,26.72,92.43,19,4.6,29-04-2021
,01:10:24,26.71,92.4,19,2.9,29-04-2021
,00:24:02,26.76,92.93,18,2.6,29-04-2021
,23:07:54,16.86,75.72,5,2.6,28-04-2021
,21:38:11,26.73,92.38,15,2.8,28-04-2021
,20:13:12,29.97,67.88,10,3.9,28-04-2021
,17:39:57,26.62,92.4,19,3,28-04-2021
,17:04:04,32.14,76.61,5,2.7,28-04-2021
,15:55:48,26.77,92.36,10,2.9,28-04-2021
,14:34:52,26.83,92.5,10,3.4,28-04-2021
,12:32:06,26.36,92.38,23,2.9,28-04-2021
,10:39:12,26.62,92.46,10,3.4,28-04-2021
,10:05:54,26.39,92.52,27,3.2,28-04-2021
,08:44:34,26.59,92.46,25,3.6,28-04-2021
,08:25:40,26.54,92.45,26,3.6,28-04-2021
,08:13:21,26.69,92.41,20,4,28-04-2021
,08:03:01,26.74,92.42,15,4.7,28-04-2021
,07:51:25,26.69,92.36,17,6.4,28-04-2021
,22:32:17,36.69,71.62,165,4.1,27-04-2021
,19:10:43,28.98,76.72,10,3,27-04-2021
,12:42:04,26.81,92.73,28,2.6,27-04-2021
,10:47:13,36.31,75.67,158,4.5,27-04-2021
,10:39:11,25.43,91.9,5,3,27-04-2021
,01:35:25,37.84,73.23,150,4.8,26-04-2021
,10:18:44,36.68,70.99,200,3.9,25-04-2021
,09:11:35,38.33,74.21,125,4,25-04-2021
,05:23:39,32.76,76.2,5,2.2,25-04-2021
,22:27:06,36.48,69.41,56,4.4,24-04-2021
,20:15:06,36.51,71.62,120,3.9,24-04-2021
,00:53:23,28.53,94.56,10,2.8,24-04-2021
,13:20:34,36.46,70.98,190,4.7,23-04-2021
,02:38:55,37.71,69.52,90,4.4,23-04-2021
,08:38:57,30.63,87.32,10,3.8,22-04-2021
,05:55:45,31.36,76.82,10,2.7,22-04-2021
,05:54:21,31.37,76.58,8,2.9,22-04-2021
,04:56:36,36.73,68.38,10,3.7,22-04-2021
,04:06:01,37.7,76.11,10,3.6,22-04-2021
